Customer_ID,customer_name,customer_email,customer_phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Feedback,Ratings,order_id,product_id
10010,Ryan Smith,Emma94@gmail.com,4658668000.0,5298 Christopher Run Suite 045,Portsmouth,England,72512,UK,32,Female,Low,Regular,Excellent,4.0,9185879,52175
10011,Amanda Collins,Daniel76@gmail.com,8497778000.0,841 Adam Square Apt. 817,Oshawa,Ontario,66885,Canada,63,Male,High,Regular,Good,3.0,4277633,48114
10015,Dr. Elizabeth Green,Daisy30@gmail.com,5570453500.0,52520 Campos Divide,Ottawa,Ontario,56120,Canada,46,Male,Low,Regular,Excellent,5.0,9614833,58256
10018,Carla Clarke,Amber20@gmail.com,6206412300.0,7205 Vasquez Meadows Suite 985,Duisburg,Berlin,30882,Germany,61,Male,Medium,Regular,Excellent,4.0,3448261,49180
10020,Susan Thompson,Kayla27@gmail.com,4933122000.0,475 Robinson Burg,Perth,New South Wales,10534,Australia,20,Female,Low,New,Excellent,5.0,9744125,43928
10022,Alicia Davis,James29@gmail.com,9379670000.0,676 Martinez Port Apt. 788,Toronto,Ontario,84450,Canada,25,Female,High,Premium,Good,3.0,1618989,55308
10032,Ryan Novak,Jose55@gmail.com,4940333600.0,62068 Armstrong Isle,Plymouth,England,43090,UK,26,Male,Low,Regular,Good,4.0,4311923,98374
10043,Jacob Martin,Mitchell97@gmail.com,8965349000.0,708 Mary Vista,Perth,New South Wales,10161,Australia,35,Female,Medium,New,Good,4.0,4812200,63058
10058,Derrick Rubio,Ashley61@gmail.com,8900409000.0,00016 Knapp Summit Apt. 871,Portsmouth,England,35013,UK,19,Male,Medium,Regular,Excellent,5.0,9027428,18128
10063,Tammy Dorsey,Angela62@gmail.com,7523512300.0,0837 Johns Coves,Frankfurt,Berlin,23351,Germany,22,Male,Medium,Regular,Bad,1.0,4084140,28490
10075,Travis Phillips,Daniel71@gmail.com,6651921400.0,50200 Woods Stream Apt. 236,Newcastle,New South Wales,82207,Australia,46,Female,High,Premium,Excellent,5.0,6147335,58918
10081,Carmen Padilla,Karen39@gmail.com,1675018800.0,7495 Dickerson Turnpike,Jacksonville,Nebraska,68080,USA,45,Female,Low,Regular,Excellent,4.0,2790134,90100
10090,Richard Ibarra,Travis16@gmail.com,6107746000.0,0758 Crawford Street Apt. 542,Frankfurt,Berlin,12492,Germany,32,Female,Medium,Regular,Average,2.0,3734864,20122
10094,Gregory Cox MD,Brian27@gmail.com,2148950800.0,40288 James Terrace Suite 951,Sacramento,Nevada,88939,USA,34,Male,Medium,Premium,Excellent,5.0,5718098,98658
10096,Colton Johnson,Jennifer40@gmail.com,6129875000.0,42678 Gonzales Trace,Perth,New South Wales,80219,Australia,22,Female,Low,Regular,Excellent,5.0,6465198,53264
10116,Tina Evans,Richard90@gmail.com,6188419600.0,2538 Kevin Fall Suite 226,Hull,England,14314,UK,47,Female,Low,New,Average,2.0,1410070,73703
10121,Melissa Bowman,Bryan72@gmail.com,1582735500.0,1817 Silva Inlet,Cologne,Berlin,91653,Germany,44,Male,Low,New,Average,2.0,7219411,94610
10128,Patricia Howard,Victoria70@gmail.com,5573165000.0,69770 Pamela Drive,Liverpool,England,44101,UK,22,Male,Low,Regular,Bad,1.0,4325036,64497
10143,Patrick Burns,Brent73@gmail.com,8259929600.0,3555 Butler Valleys,San Francisco,Maine,5822,USA,23,Female,High,Regular,Good,4.0,4446410,26429
10162,Cheryl Davis,Robert20@gmail.com,2913548300.0,511 Kevin Mount,Cairns,New South Wales,86851,Australia,22,Male,High,Regular,Average,2.0,4492889,69463
10168,Robert Torres,Cassidy51@gmail.com,5151270000.0,0811 Rodriguez Ridges Apt. 159,Munich,Berlin,39677,Germany,20,Female,Low,New,Excellent,5.0,5037297,92626
10177,Carlos Smith,Joshua20@gmail.com,4679015000.0,706 Castro Lights,Hull,England,25578,UK,19,Male,Low,New,Average,2.0,9238248,50629
10180,Kevin Chen,James17@gmail.com,5359163000.0,875 Roy Meadow,Houston,Maryland,21028,USA,55,Female,Low,Premium,Excellent,4.0,7546165,15791
10183,Joseph Howard,Jacob18@gmail.com,5923363300.0,40694 Contreras Stravenue Apt. 456,Montreal,Ontario,47258,Canada,22,Female,Medium,Regular,Good,4.0,5295202,40221
10184,Susan Wilson,Daniel87@gmail.com,7357503000.0,2094 Antonio Street,Portsmouth,England,31844,UK,19,Male,Medium,Regular,Bad,1.0,9050195,64128
10186,Daniel Coleman,Grant34@gmail.com,4659930000.0,60269 Yoder Hollow Suite 288,Chicago,Connecticut,91665,USA,34,Male,Medium,Regular,Average,2.0,2047805,47814
10210,Matthew Williams,Steven30@gmail.com,1234855800.0,573 Dunlap Court Suite 479,New York,Kansas,32824,USA,23,Male,Medium,New,Good,3.0,1144881,39307
10228,Jamie Thompson,Richard66@gmail.com,3032702000.0,35479 Murray Camp Apt. 639,Sydney,New South Wales,34768,Australia,20,Male,Medium,Regular,Average,2.0,7945891,34714
10230,Jeffrey Jacobs,Amber17@gmail.com,2893864000.0,647 Stephen Hollow Suite 349,Düsseldorf,Berlin,7044,Germany,46,Male,Low,Premium,Excellent,5.0,7785206,83809
10234,Michelle Stewart,Kevin92@gmail.com,1343176400.0,34633 Gutierrez Estate Suite 010,Bendigo,New South Wales,85370,Australia,46,Male,Medium,New,Good,4.0,6585944,89095
10241,Eric Kirby,Frank11@gmail.com,2864964900.0,2496 Buchanan Port Suite 857,Chicago,Connecticut,16976,USA,34,Female,High,Regular,Excellent,4.0,3965500,68586
10252,Kristy Foster,Brooke74@gmail.com,5385272300.0,640 Stafford Views Apt. 628,Essen,Berlin,28546,Germany,46,Male,Low,New,Excellent,5.0,9581829,42953
10254,Alexander Martinez,Beth78@gmail.com,5355032600.0,5454 Andrew Stream,Kitchener,Ontario,49397,Canada,48,Male,Medium,New,Excellent,4.0,8174537,91543
10264,Jason Martinez,Jacob44@gmail.com,3830010400.0,813 Walls Curve,Portsmouth,England,64086,UK,24,Female,Medium,Regular,Average,2.0,5314000,97849
10267,April Rodriguez,Jill61@gmail.com,3118715400.0,4781 Jennifer Loaf,Barrie,Ontario,55412,Canada,60,Male,Medium,Regular,Average,2.0,2105794,31526
10290,Derek Henry,Emily80@gmail.com,7369204700.0,600 Farmer Knolls,San Francisco,Maine,59452,USA,26,Male,High,Regular,Average,2.0,3260894,92206
10293,Blake Anderson,Teresa71@gmail.com,5877175300.0,27640 Brown Burgs,Brighton,England,61239,UK,20,Male,Medium,Regular,Average,2.0,9573370,24794
10295,Michelle Hines,Melissa20@gmail.com,2089182600.0,2913 Young Roads,Hobart,New South Wales,92317,Australia,20,Male,Medium,Regular,Average,2.0,7123273,58457
